1,1,1,-68.929,46.859,-4.378,30.8,-55.785,39.788,-5.872
2,1,13,-76.117,28.718,-18.682,30.4,-61.841,24.144,-19.198
3,2,1,-51.979,65.966,13.564,41.9,-41.758,55.255,11.155
4,2,3,-18.370,83.115,24.417,39.1,-14.562,69.085,20.720
5,3,3,18.147,83.150,24.575,38.7,14.367,69.132,20.807
6,3,5,51.440,66.382,14.014,41.2,41.300,55.630,11.449
7,4,5,68.378,47.694,-3.689,30.6,55.318,40.510,-5.363
8,4,15,75.709,29.874,-17.898,29.9,61.460,25.219,-18.444
9,5,2,-15.149,62.331,62.321,30.4,-11.774,51.963,52.021
10,5,3,-0.142,74.789,49.797,39.8,-0.113,62.147,41.724
11,5,4,14.577,62.479,62.374,30.2,11.391,52.114,52.010
12,5,7,-0.325,47.127,78.469,39.9,-0.176,38.783,66.004
13,6,1,-59.428,53.415,24.052,30.6,-47.744,44.894,20.067
14,6,2,-41.413,58.926,47.909,30.5,-32.661,49.345,40.385
15,6,6,-58.927,40.788,45.755,37.2,-47.638,33.287,39.329
16,7,4,40.743,59.373,48.139,30.3,32.126,49.788,40.466
17,7,5,58.773,54.094,24.507,30.4,47.159,45.556,20.360
18,7,8,58.162,41.606,46.122,36.8,46.922,34.178,39.529
19,8,1,-72.685,34.962,14.786,34.1,-59.149,28.837,12.723
20,8,6,-71.977,22.104,36.368,37.0,-58.661,16.931,31.794
21,8,9,-82.341,2.928,21.997,34.0,-67.789,-0.311,20.341
22,8,13,-80.241,16.855,0.485,37.5,-65.712,13.279,-0.583
23,9,2,-33.701,45.209,69.119,39.2,-26.925,37.101,58.472
24,9,6,-50.771,26.565,66.514,37.2,-41.221,20.356,56.755
25,9,7,-18.639,29.295,84.446,37.0,-14.986,23.002,71.329
26,9,10,-38.932,9.747,85.646,39.3,-31.822,4.937,73.345
27,10,4,32.958,45.656,69.245,38.9,26.292,37.591,58.497
28,10,7,17.838,29.596,84.517,36.9,14.404,23.327,71.330
29,10,8,49.962,27.401,66.787,37.0,40.447,21.321,56.912
30,10,11,37.939,10.514,85.893,39.0,30.979,5.725,73.499
31,11,5,72.118,36.028,15.363,33.7,58.617,29.859,13.203
32,11,8,71.357,23.338,36.870,37.0,58.057,18.213,32.197
33,11,12,81.861,4.612,22.660,33.4,67.322,1.373,20.897
34,11,15,79.859,18.257,1.157,37.3,65.327,14.679,0.142
35,12,7,-0.425,11.182,96.687,40.1,-0.364,6.402,82.469
36,12,10,-20.733,-8.420,97.864,41.0,-17.026,-11.961,83.767
37,12,11,19.694,-7.956,98.018,40.7,16.052,-11.505,83.907
38,13,6,-68.425,6.849,58.930,37.6,-56.653,2.006,50.995
39,13,9,-79.493,-12.172,44.734,40.7,-65.795,-15.279,39.469
40,13,10,-56.755,-9.933,78.197,40.9,-47.064,-13.565,67.340
41,14,8,67.509,8.226,59.388,37.1,55.840,3.375,51.307
42,14,11,55.697,-8.601,78.675,40.9,46.214,-12.356,67.676
43,14,12,78.806,-10.315,45.395,40.7,65.190,-13.486,39.959
44,15,9,-86.823,-14.716,4.290,41.1,-71.971,-16.772,3.857
45,15,13,-83.319,-1.027,-17.266,30.6,-68.512,-3.416,-17.110
46,15,14,-85.730,-31.475,-14.663,30.4,-70.812,-29.955,-14.262
47,16,12,86.511,-12.679,5.034,41.1,71.671,-14.810,4.544
48,16,15,83.021,0.707,-16.517,30.0,68.227,-1.757,-16.259
49,16,16,85.906,-29.748,-13.983,31.0,70.965,-28.515,-13.487
