S01,-70.550,42.879,-19.263
S02,-35.609,78.819,16.092
S03,35.272,78.970,16.408
S04,70.103,43.768,-18.472
S05,-0.235,62.434,65.513
S06,-51.830,55.753,37.164
S07,51.167,56.349,37.498
S08,-77.435,19.001,18.879
S09,-35.971,27.644,77.821
S10,35.174,28.261,77.967
S11,76.997,20.379,19.465
S12,-0.461,-8.416,101.365
S13,-70.634,-11.463,63.077
S14,69.701,-9.782,63.617
S15,-84.830,-16.239,-16.314
S16,84.621,-14.204,-15.575
D01,-64.987,49.590,10.244
D02,-29.480,60.438,57.351
D03,-0.040,83.390,31.683
D04,28.847,60.759,57.469
D05,64.380,50.370,10.803
D06,-63.100,23.879,52.682
D07,-0.371,29.335,87.712
D08,62.315,24.986,53.080
D09,-84.098,-13.846,24.756
D10,-39.835,-9.543,89.911
D11,38.717,-8.599,90.282
D12,83.687,-11.831,25.487
D13,-79.225,13.769,-18.190
D14,-84.057,-46.448,-12.942
D15,78.937,15.204,-17.416
D16,84.505,-45.070,-12.301
