# NIRWizard 0.1.7 — QC per-channel table
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=QC metrics (cedalion engine); descriptive (no p/q); correction=none; families=n/a (no correction applied)
# engine=cedalion v26.5.2.dev11+ga7eb62531; cardiac band 0.5-2.5 Hz; window 5 s (61 samples @ 12.2070 Hz), no overlap; 421 windows
# verdict rule: window good iff SCI>=0.8 and PSP>=0.1; channel good iff good-window fraction>=q=0.75 and SNR>=2, SD in 0-45 mm, mean amplitude gate not applied (no bounds set)
# SNR convention: SNR = mean(raw intensity) / std(raw intensity) per wavelength (population std), channel value = minimum over wavelengths; Homer3 convention, not dB
# sci_value / psp_value are medians over windows; *_pass for SCI/PSP = per-metric good-window fraction >= q; status combines both windows and gates
# GVTD (recording-level, never flags channels): mean=1.092568e-2 median=7.886281e-3 max=1.558530e-1 over 94 measurements
# QC exclusions applied: no — status is the QC verdict under these thresholds; nothing has been written into the bad-channel record
# n/a = gate not applied for that channel
# provenance: qc_channels.json (authoritative sidecar, schema 1.0)
name	source	detector	separation_mm	sci_value	sci_threshold	sci_pass	psp_value	psp_threshold	psp_pass	snr_value	snr_threshold	snr_pass	mean_amplitude_value	mean_amplitude_threshold	mean_amplitude_pass	sd_distance_value	sd_distance_threshold	sd_distance_pass	windows_total	windows_good	good_fraction	q_threshold	status	status_description	verdict_source	engine
S6-D6	6	6	3.022043e1	9.907947e-1	0.8	true	3.332655e-2	0.1	false	2.546177e1	2	true	6.309495e1	n/a	n/a	3.022043e1	0-45	true	421	12	2.850356e-2	0.75	bad	failed windows, psp: 12/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S6-D9	6	9	3.985421e1	9.871315e-1	0.8	true	3.320906e-2	0.1	false	2.301806e1	2	true	3.404204e1	n/a	n/a	3.985421e1	0-45	true	421	7	1.662708e-2	0.75	bad	failed windows, psp: 7/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S7-D4	7	4	3.059045e1	9.718442e-1	0.8	true	1.829022e-1	0.1	true	6.453516e1	2	true	3.864958e1	n/a	n/a	3.059045e1	0-45	true	421	405	9.619952e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S7-D5	7	5	3.047928e1	9.958670e-1	0.8	true	3.414846e-2	0.1	false	5.933719e1	2	true	4.914602e2	n/a	n/a	3.047928e1	0-45	true	421	14	3.325416e-2	0.75	bad	failed windows, psp: 14/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S7-D8	7	8	3.719910e1	2.376573e-1	0.8	false	1.421876e-2	0.1	false	4.616971e1	2	true	2.658983e0	n/a	n/a	3.719910e1	0-45	true	421	0	0.000000e0	0.75	bad	failed windows, sci, psp: 0/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S8-D6	8	6	3.027328e1	9.937489e-1	0.8	true	3.006702e-2	0.1	false	2.989733e1	2	true	3.561385e2	n/a	n/a	3.027328e1	0-45	true	421	17	4.038005e-2	0.75	bad	failed windows, psp: 17/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S8-D7	8	7	3.038017e1	9.804944e-1	0.8	true	1.755620e-1	0.1	true	5.050897e1	2	true	2.929704e1	n/a	n/a	3.038017e1	0-45	true	421	393	9.334917e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S8-D10	8	10	3.675207e1	3.092637e-1	0.8	false	1.815304e-2	0.1	false	4.516097e1	2	true	3.165754e0	n/a	n/a	3.675207e1	0-45	true	421	0	0.000000e0	0.75	bad	failed windows, sci, psp: 0/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S9-D4	9	4	3.413507e1	9.371499e-1	0.8	true	1.534913e-1	0.1	true	4.408814e1	2	true	1.126525e1	n/a	n/a	3.413507e1	0-45	true	421	370	8.788599e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S9-D8	9	8	3.703957e1	2.977498e-1	0.8	false	1.383174e-2	0.1	false	4.426835e1	2	true	3.990912e0	n/a	n/a	3.703957e1	0-45	true	421	0	0.000000e0	0.75	bad	failed windows, sci, psp: 0/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S9-D11	9	11	3.402734e1	8.564331e-1	0.8	true	1.378229e-1	0.1	true	3.797860e1	2	true	5.537826e0	n/a	n/a	3.402734e1	0-45	true	421	305	7.244656e-1	0.75	bad	failed windows: 305/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S9-D13	9	13	3.747918e1	7.683216e-1	0.8	false	7.890771e-2	0.1	false	3.379619e1	2	true	6.220404e0	n/a	n/a	3.747918e1	0-45	true	421	54	1.282660e-1	0.75	bad	failed windows, sci, psp: 54/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S10-D5	10	5	3.919950e1	9.387223e-1	0.8	true	3.699774e-2	0.1	false	3.046719e1	2	true	1.997257e1	n/a	n/a	3.919950e1	0-45	true	421	18	4.275534e-2	0.75	bad	failed windows, psp: 18/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S10-D8	10	8	3.717697e1	9.934966e-1	0.8	true	3.451855e-2	0.1	false	2.259017e1	2	true	4.991615e1	n/a	n/a	3.717697e1	0-45	true	421	10	2.375297e-2	0.75	bad	failed windows, psp: 10/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S10-D9	10	9	3.698718e1	9.858981e-1	0.8	true	3.294643e-2	0.1	false	2.878415e1	2	true	3.605684e1	n/a	n/a	3.698718e1	0-45	true	421	12	2.850356e-2	0.75	bad	failed windows, psp: 12/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
