# NIRWizard 0.1.7 — subject GLM nuisance-regressor coefficients (descriptive)
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=AR-IRLS; inferential; correction=Benjamini-Hochberg FDR; families=condition × chromophore, across channels
# regressors: drift_r1_1, drift_r1_2, drift_r1_3, drift_r1_4, drift_r1_5, drift_r1_6, drift_r1_7, drift_r1_8, drift_r1_9, drift_r2_1, drift_r2_2, drift_r2_3, drift_r2_4, drift_r2_5, drift_r2_6, drift_r2_7, drift_r3_1, drift_r3_2, drift_r3_3, drift_r3_4, drift_r3_5, drift_r3_6, drift_r3_7, drift_r3_8, drift_r4_1, drift_r4_2, drift_r4_3, drift_r4_4, drift_r4_5, drift_r4_6, drift_r4_7, run_2, run_3, run_4, intercept
# provenance: quiet_vs_noise_glm_results.json (authoritative sidecar, schema 1.0)
channel,signal,regressor,beta,se
S2-D4,HbO,drift_r1_4,-1.746414e0,1.238435e0
S2-D4,HbO,drift_r1_5,-4.591012e-1,1.249608e0
S2-D4,HbO,drift_r1_6,-1.990591e-1,1.234887e0
S2-D4,HbO,drift_r1_7,-5.403913e-1,1.233821e0
S2-D4,HbO,drift_r1_8,-8.282488e-1,1.237018e0
S2-D4,HbO,drift_r1_9,-2.039454e0,1.227555e0
S2-D4,HbO,drift_r2_1,-1.042467e0,1.223978e0
S2-D4,HbO,drift_r2_2,-1.634141e0,1.234949e0
S2-D4,HbO,drift_r2_3,-1.944851e0,1.220497e0
S2-D4,HbO,drift_r2_4,-2.053399e0,1.220495e0
S2-D4,HbO,drift_r2_5,-1.714240e0,1.213947e0
S2-D4,HbO,drift_r2_6,-2.356775e0,1.213574e0
S2-D4,HbO,drift_r2_7,-2.334995e0,1.207684e0
S2-D4,HbO,drift_r3_1,-7.865653e-1,1.235392e0
S2-D4,HbO,drift_r3_2,-1.311108e-1,1.252372e0
S2-D4,HbO,drift_r3_3,1.899258e-1,1.228332e0
S2-D4,HbO,drift_r3_4,-2.043991e-2,1.249758e0
S2-D4,HbO,drift_r3_5,1.918073e-1,1.224260e0
S2-D4,HbO,drift_r3_6,-6.845718e-1,1.227091e0
S2-D4,HbO,drift_r3_7,-1.780102e-1,1.220939e0
S2-D4,HbO,drift_r3_8,-5.926961e-1,1.214335e0
S2-D4,HbO,drift_r4_1,-2.184007e0,1.223687e0
S2-D4,HbO,drift_r4_2,-1.705677e0,1.246094e0
S2-D4,HbO,drift_r4_3,-1.602899e0,1.220564e0
S2-D4,HbO,drift_r4_4,-2.275044e0,1.221440e0
S2-D4,HbO,drift_r4_5,-1.190437e0,1.215018e0
S2-D4,HbO,drift_r4_6,-1.623776e0,1.212074e0
S2-D4,HbO,drift_r4_7,-2.842708e0,1.212310e0
S2-D4,HbO,run_2,-3.440204e-2,2.442347e-2
S2-D4,HbO,run_3,-3.354521e-3,2.809651e-2
S2-D4,HbO,run_4,-1.405075e-2,2.819232e-2
S2-D4,HbO,intercept,-8.615255e-2,1.861777e-2
S2-D4,HbR,drift_r1_1,8.110054e-1,2.637890e-1
S2-D4,HbR,drift_r1_2,4.860913e-1,2.607231e-1
S2-D4,HbR,drift_r1_3,2.360419e-1,2.572697e-1
S2-D4,HbR,drift_r1_4,5.705096e-2,2.548402e-1
S2-D4,HbR,drift_r1_5,6.960250e-2,2.544776e-1
S2-D4,HbR,drift_r1_6,5.290169e-3,2.501735e-1
S2-D4,HbR,drift_r1_7,2.712608e-1,2.477941e-1
S2-D4,HbR,drift_r1_8,-1.076517e-2,2.448163e-1
S2-D4,HbR,drift_r1_9,1.100648e-1,2.409301e-1
S2-D4,HbR,drift_r2_1,4.238836e-2,2.541062e-1
S2-D4,HbR,drift_r2_2,1.356336e0,2.534649e-1
S2-D4,HbR,drift_r2_3,6.895789e-1,2.511315e-1
S2-D4,HbR,drift_r2_4,3.208462e-1,2.482206e-1
S2-D4,HbR,drift_r2_5,-6.895900e-1,2.454660e-1
S2-D4,HbR,drift_r2_6,3.820790e-1,2.415871e-1
S2-D4,HbR,drift_r2_7,6.037945e-1,2.378778e-1
S2-D4,HbR,drift_r3_1,9.011758e-1,2.559410e-1
S2-D4,HbR,drift_r3_2,4.784432e-1,2.572765e-1
S2-D4,HbR,drift_r3_3,1.092741e0,2.527302e-1
S2-D4,HbR,drift_r3_4,5.730336e-1,2.532854e-1
S2-D4,HbR,drift_r3_5,4.335770e-1,2.475066e-1
S2-D4,HbR,drift_r3_6,1.373908e-1,2.451591e-1
S2-D4,HbR,drift_r3_7,5.649117e-1,2.404807e-1
S2-D4,HbR,drift_r3_8,-3.635194e-1,2.363451e-1
S2-D4,HbR,drift_r4_1,-3.400126e-1,2.541800e-1
S2-D4,HbR,drift_r4_2,-6.341849e-3,2.546599e-1
S2-D4,HbR,drift_r4_3,3.856702e-2,2.513217e-1
S2-D4,HbR,drift_r4_4,1.419367e0,2.485440e-1
S2-D4,HbR,drift_r4_5,-1.743526e-1,2.459004e-1
S2-D4,HbR,drift_r4_6,1.682658e-1,2.418331e-1
S2-D4,HbR,drift_r4_7,3.237766e-1,2.388700e-1
S2-D4,HbR,run_2,-6.073067e-3,5.100578e-3
S2-D4,HbR,run_3,-5.545357e-4,5.456224e-3
S2-D4,HbR,run_4,2.620746e-4,5.467357e-3
S2-D4,HbR,intercept,-1.565730e-2,3.646880e-3
S3-D1,HbO,drift_r1_1,1.696348e0,1.609784e0
S3-D1,HbO,drift_r1_2,-8.142749e-1,1.587905e0
S3-D1,HbO,drift_r1_3,-1.080255e0,1.560283e0
S3-D1,HbO,drift_r1_4,-2.545074e0,1.548207e0
S3-D1,HbO,drift_r1_5,-1.932788e0,1.551092e0
S3-D1,HbO,drift_r1_6,-6.809386e-1,1.525852e0
S3-D1,HbO,drift_r1_7,-5.232860e-1,1.514414e0
S3-D1,HbO,drift_r1_8,-2.943182e0,1.502883e0
S3-D1,HbO,drift_r1_9,-1.571775e0,1.480978e0
S3-D1,HbO,drift_r2_1,-3.428866e0,1.540652e0
S3-D1,HbO,drift_r2_2,-1.010284e0,1.543173e0
S3-D1,HbO,drift_r2_3,-3.745701e0,1.525921e0
S3-D1,HbO,drift_r2_4,-1.125444e0,1.513578e0
S3-D1,HbO,drift_r2_5,-3.848025e0,1.497833e0
S3-D1,HbO,drift_r2_6,-7.925082e-1,1.480944e0
S3-D1,HbO,drift_r2_7,-4.157523e0,1.461160e0
S3-D1,HbO,drift_r3_1,2.331472e0,1.553049e0
S3-D1,HbO,drift_r3_2,3.661066e0,1.565736e0
S3-D1,HbO,drift_r3_3,2.520777e0,1.535733e0
S3-D1,HbO,drift_r3_4,2.643627e0,1.546898e0
S3-D1,HbO,drift_r3_5,9.939059e-1,1.510644e0
S3-D1,HbO,drift_r3_6,1.641880e0,1.500905e0
S3-D1,HbO,drift_r3_7,4.613933e-1,1.477725e0
S3-D1,HbO,drift_r3_8,5.412791e-1,1.455873e0
S3-D1,HbO,drift_r4_1,1.732168e0,1.540835e0
S3-D1,HbO,drift_r4_2,2.101029e0,1.553175e0
S3-D1,HbO,drift_r4_3,1.346334e0,1.526775e0
S3-D1,HbO,drift_r4_4,3.835333e-1,1.515370e0
S3-D1,HbO,drift_r4_5,1.941580e0,1.500206e0
S3-D1,HbO,drift_r4_6,1.596385e0,1.481337e0
S3-D1,HbO,drift_r4_7,-9.104042e-1,1.467580e0
S3-D1,HbO,run_2,-1.453718e-2,3.087418e-2
S3-D1,HbO,run_3,-3.268056e-2,3.404193e-2
S3-D1,HbO,run_4,-4.189881e-2,3.412957e-2
S3-D1,HbO,intercept,-8.486884e-2,2.267029e-2
S3-D1,HbR,drift_r1_1,1.001951e0,2.277979e-1
S3-D1,HbR,drift_r1_2,-5.896532e-1,2.250145e-1
S3-D1,HbR,drift_r1_3,1.038261e0,2.219662e-1
S3-D1,HbR,drift_r1_4,-7.407840e-1,2.187784e-1
S3-D1,HbR,drift_r1_5,4.520442e-1,2.170172e-1
S3-D1,HbR,drift_r1_6,1.325143e-1,2.120702e-1
S3-D1,HbR,drift_r1_7,6.420461e-1,2.084917e-1
S3-D1,HbR,drift_r1_8,-3.109737e-1,2.041352e-1
S3-D1,HbR,drift_r1_9,-1.718204e-2,1.992919e-1
S3-D1,HbR,drift_r2_1,7.965086e-1,2.199723e-1
S3-D1,HbR,drift_r2_2,5.248413e-2,2.182904e-1
S3-D1,HbR,drift_r2_3,7.350238e-1,2.156793e-1
S3-D1,HbR,drift_r2_4,-2.784627e-1,2.115719e-1
S3-D1,HbR,drift_r2_5,6.316371e-1,2.077336e-1
S3-D1,HbR,drift_r2_6,-1.599536e-1,2.024117e-1
S3-D1,HbR,drift_r2_7,6.887085e-1,1.973793e-1
S3-D1,HbR,drift_r3_1,-1.609876e-1,2.214544e-1
S3-D1,HbR,drift_r3_2,-3.434994e-1,2.217135e-1
S3-D1,HbR,drift_r3_3,-1.813851e-1,2.171144e-1
S3-D1,HbR,drift_r3_4,-4.135030e-1,2.158268e-1
S3-D1,HbR,drift_r3_5,-4.290606e-1,2.096189e-1
S3-D1,HbR,drift_r3_6,-2.769330e-1,2.057322e-1
S3-D1,HbR,drift_r3_7,-1.207339e-1,1.998113e-1
S3-D1,HbR,drift_r3_8,-3.199617e-1,1.944057e-1
S3-D1,HbR,drift_r4_1,6.227475e-3,2.200940e-1
S3-D1,HbR,drift_r4_2,4.957732e-1,2.191443e-1
S3-D1,HbR,drift_r4_3,-1.183851e-1,2.159455e-1
S3-D1,HbR,drift_r4_4,-2.881369e-1,2.119697e-1
S3-D1,HbR,drift_r4_5,-1.539388e0,2.082707e-1
S3-D1,HbR,drift_r4_6,2.770042e-1,2.028767e-1
S3-D1,HbR,drift_r4_7,-1.621885e-1,1.984010e-1
S3-D1,HbR,run_2,-5.958173e-3,4.437264e-3
S3-D1,HbR,run_3,-1.081072e-2,4.657957e-3
S3-D1,HbR,run_4,-6.718308e-3,4.665629e-3
S3-D1,HbR,intercept,-8.733051e-4,3.121140e-3
S3-D3,HbO,drift_r1_1,2.558160e0,1.196426e0
S3-D3,HbO,drift_r1_2,1.637344e0,1.175740e0
S3-D3,HbO,drift_r1_3,-9.362204e-1,1.147454e0
S3-D3,HbO,drift_r1_4,-1.615894e0,1.143828e0
S3-D3,HbO,drift_r1_5,-1.548882e0,1.154510e0
S3-D3,HbO,drift_r1_6,-1.282270e0,1.139773e0
S3-D3,HbO,drift_r1_7,-9.202292e-1,1.138051e0
S3-D3,HbO,drift_r1_8,8.196662e-3,1.141316e0
S3-D3,HbO,drift_r1_9,-1.737082e0,1.131110e0
S3-D3,HbO,drift_r2_1,-3.328506e0,1.131303e0
S3-D3,HbO,drift_r2_2,-4.408922e-1,1.142763e0
S3-D3,HbO,drift_r2_3,-3.590689e0,1.127475e0
S3-D3,HbO,drift_r2_4,-9.148527e-1,1.127747e0
S3-D3,HbO,drift_r2_5,-4.406296e0,1.120284e0
S3-D3,HbO,drift_r2_6,-1.472757e0,1.120131e0
S3-D3,HbO,drift_r2_7,-5.230528e0,1.113257e0
S3-D3,HbO,drift_r3_1,2.247600e0,1.142244e0
S3-D3,HbO,drift_r3_2,2.904114e0,1.158851e0
S3-D3,HbO,drift_r3_3,2.385698e0,1.134808e0
S3-D3,HbO,drift_r3_4,2.599355e0,1.155796e0
S3-D3,HbO,drift_r3_5,1.302842e0,1.130160e0
S3-D3,HbO,drift_r3_6,1.712584e0,1.132232e0
S3-D3,HbO,drift_r3_7,1.006564e0,1.126144e0
S3-D3,HbO,drift_r3_8,4.001319e-2,1.118627e0
S3-D3,HbO,drift_r4_1,-5.571088e-1,1.130986e0
S3-D3,HbO,drift_r4_2,1.240811e0,1.154049e0
S3-D3,HbO,drift_r4_3,-3.844743e-1,1.127529e0
S3-D3,HbO,drift_r4_4,-1.149485e-1,1.128718e0
S3-D3,HbO,drift_r4_5,2.906147e-1,1.121380e0
S3-D3,HbO,drift_r4_6,-9.667802e-1,1.118639e0
S3-D3,HbO,drift_r4_7,-1.120301e0,1.117965e0
S3-D3,HbO,run_2,-2.650987e-2,2.257678e-2
S3-D3,HbO,run_3,2.835910e-3,2.628209e-2
S3-D3,HbO,run_4,-4.287075e-3,2.637709e-2
S3-D3,HbO,intercept,-8.811371e-2,1.739277e-2
S3-D3,HbR,drift_r1_1,-5.190209e-2,2.817567e-1
S3-D3,HbR,drift_r1_2,-2.651334e-1,2.779374e-1
S3-D3,HbR,drift_r1_3,1.742737e-1,2.737343e-1
S3-D3,HbR,drift_r1_4,-4.542817e-1,2.683814e-1
S3-D3,HbR,drift_r1_5,-1.240726e-1,2.643852e-1
S3-D3,HbR,drift_r1_6,-2.778822e-1,2.566992e-1
S3-D3,HbR,drift_r1_7,-1.716061e-2,2.504205e-1
S3-D3,HbR,drift_r1_8,-1.982013e-1,2.430771e-1
S3-D3,HbR,drift_r1_9,3.678159e-3,2.354345e-1
S3-D3,HbR,drift_r2_1,4.515376e-2,2.723519e-1
S3-D3,HbR,drift_r2_2,3.116411e-2,2.689621e-1
S3-D3,HbR,drift_r2_3,2.721915e-1,2.647185e-1
S3-D3,HbR,drift_r2_4,-2.590405e-2,2.576896e-1
S3-D3,HbR,drift_r2_5,2.477550e-1,2.510249e-1
S3-D3,HbR,drift_r2_6,5.364700e-2,2.422108e-1
S3-D3,HbR,drift_r2_7,1.213881e-1,2.338929e-1
S3-D3,HbR,drift_r3_1,-3.439333e-1,2.741197e-1
S3-D3,HbR,drift_r3_2,-1.672175e-1,2.733359e-1
S3-D3,HbR,drift_r3_3,-3.649365e-1,2.665960e-1
S3-D3,HbR,drift_r3_4,-2.001055e-1,2.628558e-1
S3-D3,HbR,drift_r3_5,-1.197115e-1,2.535514e-1
S3-D3,HbR,drift_r3_6,-3.815965e-1,2.465222e-1
S3-D3,HbR,drift_r3_7,-3.168387e-2,2.371434e-1
S3-D3,HbR,drift_r3_8,-4.453225e-1,2.284883e-1
S3-D3,HbR,drift_r4_1,-1.281644e-1,2.725713e-1
S3-D3,HbR,drift_r4_2,2.422164e-1,2.698914e-1
S3-D3,HbR,drift_r4_3,1.388030e-1,2.651739e-1
S3-D3,HbR,drift_r4_4,-2.453042e-1,2.583335e-1
S3-D3,HbR,drift_r4_5,-2.273305e-1,2.518847e-1
S3-D3,HbR,drift_r4_6,4.687857e-1,2.430622e-1
S3-D3,HbR,drift_r4_7,3.040103e-1,2.353437e-1
S3-D3,HbR,run_2,5.722929e-3,5.523397e-3
S3-D3,HbR,run_3,5.303722e-4,5.719928e-3
S3-D3,HbR,run_4,-3.174742e-3,5.727800e-3
S3-D3,HbR,intercept,-1.639617e-3,3.840253e-3
S3-D4,HbO,drift_r1_1,1.792732e-1,9.136804e-1
S3-D4,HbO,drift_r1_2,-5.744757e-1,8.993741e-1
S3-D4,HbO,drift_r1_3,-1.152508e0,8.802480e-1
S3-D4,HbO,drift_r1_4,-1.391864e0,8.763501e-1
S3-D4,HbO,drift_r1_5,-2.021852e0,8.825227e-1
S3-D4,HbO,drift_r1_6,-7.318946e-1,8.706632e-1
S3-D4,HbO,drift_r1_7,-1.479458e0,8.680062e-1
S3-D4,HbO,drift_r1_8,-5.968861e-1,8.677418e-1
S3-D4,HbO,drift_r1_9,-2.297415e0,8.588727e-1
S3-D4,HbO,drift_r2_1,-1.142884e0,8.680538e-1
S3-D4,HbO,drift_r2_2,7.528898e-1,8.743589e-1
S3-D4,HbO,drift_r2_3,-3.262724e-1,8.637399e-1
S3-D4,HbO,drift_r2_4,5.568056e-1,8.618011e-1
S3-D4,HbO,drift_r2_5,-9.879201e-1,8.555051e-1
S3-D4,HbO,drift_r2_6,-5.517580e-1,8.525462e-1
S3-D4,HbO,drift_r2_7,-1.417149e0,8.458268e-1
S3-D4,HbO,drift_r3_1,9.105965e-1,8.759342e-1
S3-D4,HbO,drift_r3_2,8.021437e-1,8.867529e-1
S3-D4,HbO,drift_r3_3,6.955235e-1,8.693224e-1
S3-D4,HbO,drift_r3_4,1.259046e0,8.821908e-1
S3-D4,HbO,drift_r3_5,8.138373e-1,8.628868e-1
S3-D4,HbO,drift_r3_6,6.841009e-1,8.624983e-1
S3-D4,HbO,drift_r3_7,1.272713e0,8.553868e-1
S3-D4,HbO,drift_r3_8,2.747960e-1,8.479406e-1
S3-D4,HbO,drift_r4_1,-2.723917e-1,8.679249e-1
S3-D4,HbO,drift_r4_2,9.095937e-1,8.818309e-1
S3-D4,HbO,drift_r4_3,-1.173869e0,8.639114e-1
S3-D4,HbO,drift_r4_4,-3.806762e-1,8.625892e-1
S3-D4,HbO,drift_r4_5,-1.015993e0,8.564637e-1
S3-D4,HbO,drift_r4_6,-3.437843e-1,8.518322e-1
S3-D4,HbO,drift_r4_7,-9.597311e-1,8.493369e-1
S3-D4,HbO,run_2,5.183892e-3,1.734212e-2
S3-D4,HbO,run_3,-1.504961e-2,1.978827e-2
S3-D4,HbO,run_4,-1.447825e-2,1.985251e-2
S3-D4,HbO,intercept,-4.684724e-2,1.312523e-2
S3-D4,HbR,drift_r1_1,9.785841e-1,2.714631e-1
S3-D4,HbR,drift_r1_2,4.195930e-1,2.679367e-1
S3-D4,HbR,drift_r1_3,3.671715e-1,2.635769e-1
S3-D4,HbR,drift_r1_4,8.090715e-2,2.613594e-1
S3-D4,HbR,drift_r1_5,4.057472e-1,2.614687e-1
S3-D4,HbR,drift_r1_6,-2.150412e-1,2.571031e-1
S3-D4,HbR,drift_r1_7,8.364699e-1,2.548890e-1
S3-D4,HbR,drift_r1_8,1.080469e-1,2.525060e-1
S3-D4,HbR,drift_r1_9,7.964494e-1,2.485856e-1
S3-D4,HbR,drift_r2_1,-1.433737e-1,2.603670e-1
S3-D4,HbR,drift_r2_2,-2.526242e-1,2.604383e-1
S3-D4,HbR,drift_r2_3,-3.622654e-1,2.575987e-1
S3-D4,HbR,drift_r2_4,-2.329132e-1,2.551780e-1
S3-D4,HbR,drift_r2_5,-3.680983e-1,2.523278e-1
S3-D4,HbR,drift_r2_6,-3.765749e-1,2.490363e-1
S3-D4,HbR,drift_r2_7,-4.788118e-1,2.453824e-1
S3-D4,HbR,drift_r3_1,-1.839873e-1,2.624152e-1
S3-D4,HbR,drift_r3_2,-8.219718e-2,2.642350e-1
S3-D4,HbR,drift_r3_3,-6.351036e-2,2.592776e-1
S3-D4,HbR,drift_r3_4,-1.444659e-1,2.606233e-1
S3-D4,HbR,drift_r3_5,-1.935841e-1,2.545023e-1
S3-D4,HbR,drift_r3_6,1.379944e-1,2.524687e-1
S3-D4,HbR,drift_r3_7,-3.792811e-2,2.481791e-1
S3-D4,HbR,drift_r3_8,-6.367702e-2,2.441525e-1
S3-D4,HbR,drift_r4_1,2.263787e-1,2.604121e-1
S3-D4,HbR,drift_r4_2,2.017387e-1,2.619762e-1
S3-D4,HbR,drift_r4_3,4.217843e-1,2.577621e-1
S3-D4,HbR,drift_r4_4,-3.956846e-2,2.554958e-1
S3-D4,HbR,drift_r4_5,2.418397e-1,2.527521e-1
S3-D4,HbR,drift_r4_6,3.633957e-1,2.491746e-1
S3-D4,HbR,drift_r4_7,4.086570e-1,2.464595e-1
S3-D4,HbR,run_2,-8.988466e-3,5.219952e-3
S3-D4,HbR,run_3,1.129410e-2,5.699524e-3
S3-D4,HbR,run_4,1.437370e-2,5.713515e-3
S3-D4,HbR,intercept,-8.848318e-3,3.800177e-3
S4-D2,HbO,drift_r1_1,3.113762e0,1.423776e0
S4-D2,HbO,drift_r1_2,1.377607e0,1.402116e0
S4-D2,HbO,drift_r1_3,-4.689129e-1,1.373363e0
S4-D2,HbO,drift_r1_4,-1.056739e0,1.367147e0
S4-D2,HbO,drift_r1_5,-1.591984e0,1.376153e0
S4-D2,HbO,drift_r1_6,5.362327e-2,1.357865e0
S4-D2,HbO,drift_r1_7,-4.958307e-2,1.353492e0
S4-D2,HbO,drift_r1_8,-5.334061e-1,1.352455e0
S4-D2,HbO,drift_r1_9,-1.470522e0,1.338628e0
S4-D2,HbO,drift_r2_1,-5.188257e-1,1.354413e0
S4-D2,HbO,drift_r2_2,2.032206e0,1.363526e0
S4-D2,HbO,drift_r2_3,-7.444496e-1,1.347495e0
S4-D2,HbO,drift_r2_4,1.820368e0,1.344039e0
S4-D2,HbO,drift_r2_5,-5.185070e-1,1.334260e0
S4-D2,HbO,drift_r2_6,1.995178e0,1.329081e0
S4-D2,HbO,drift_r2_7,-6.227357e-1,1.318449e0
S4-D2,HbO,drift_r3_1,3.690231e0,1.366530e0
S4-D2,HbO,drift_r3_2,3.207957e0,1.382706e0
S4-D2,HbO,drift_r3_3,3.222219e0,1.356192e0
S4-D2,HbO,drift_r3_4,2.298716e0,1.375222e0
S4-D2,HbO,drift_r3_5,2.312317e0,1.345688e0
S4-D2,HbO,drift_r3_6,1.630049e0,1.344658e0
S4-D2,HbO,drift_r3_7,2.481815e0,1.333195e0
S4-D2,HbO,drift_r3_8,1.242688e0,1.321398e0
S4-D2,HbO,drift_r4_1,4.677672e-1,1.354241e0
S4-D2,HbO,drift_r4_2,4.187698e0,1.374732e0
S4-D2,HbO,drift_r4_3,-1.344072e0,1.347789e0
S4-D2,HbO,drift_r4_4,1.813143e0,1.345264e0
S4-D2,HbO,drift_r4_5,-1.496196e-1,1.335763e0
S4-D2,HbO,drift_r4_6,4.044982e0,1.328091e0
S4-D2,HbO,drift_r4_7,-2.892578e0,1.323811e0
S4-D2,HbO,run_2,-2.419463e-2,2.705511e-2
S4-D2,HbO,run_3,1.631052e-2,3.072032e-2
S4-D2,HbO,run_4,1.684663e-2,3.081860e-2
S4-D2,HbO,intercept,-9.298828e-2,2.038811e-2
S4-D2,HbR,drift_r1_1,-4.387957e-1,2.092095e-1
S4-D2,HbR,drift_r1_2,-7.058630e-1,2.066009e-1
S4-D2,HbR,drift_r1_3,-3.654433e-3,2.034594e-1
S4-D2,HbR,drift_r1_4,-1.011117e-1,2.017844e-1
S4-D2,HbR,drift_r1_5,-5.378117e-1,2.018943e-1
S4-D2,HbR,drift_r1_6,-5.314699e-1,1.986422e-1
S4-D2,HbR,drift_r1_7,-7.904704e-1,1.970430e-1
S4-D2,HbR,drift_r1_8,-3.051833e-1,1.952242e-1
S4-D2,HbR,drift_r1_9,1.543068e-1,1.923598e-1
S4-D2,HbR,drift_r2_1,-5.045806e-1,2.009084e-1
S4-D2,HbR,drift_r2_2,-9.398294e-1,2.008827e-1
S4-D2,HbR,drift_r2_3,-5.949277e-1,1.988724e-1
S4-D2,HbR,drift_r2_4,-5.729489e-1,1.970181e-1
S4-D2,HbR,drift_r2_5,-1.274728e-1,1.949845e-1
S4-D2,HbR,drift_r2_6,-9.246784e-1,1.924766e-1
S4-D2,HbR,drift_r2_7,-4.366289e-1,1.898306e-1
S4-D2,HbR,drift_r3_1,-2.020633e-1,2.024425e-1
S4-D2,HbR,drift_r3_2,-3.907606e-1,2.038228e-1
S4-D2,HbR,drift_r3_3,-4.276078e-1,2.001392e-1
S4-D2,HbR,drift_r3_4,-8.733898e-1,2.011590e-1
S4-D2,HbR,drift_r3_5,-4.475828e-1,1.966151e-1
S4-D2,HbR,drift_r3_6,-4.070566e-1,1.951544e-1
S4-D2,HbR,drift_r3_7,-3.377597e-1,1.919209e-1
S4-D2,HbR,drift_r3_8,1.072532e-1,1.889802e-1
S4-D2,HbR,drift_r4_1,4.167177e-1,2.009467e-1
S4-D2,HbR,drift_r4_2,-2.222191e0,2.020066e-1
S4-D2,HbR,drift_r4_3,6.859109e-1,1.989975e-1
S4-D2,HbR,drift_r4_4,-6.251335e-1,1.972553e-1
S4-D2,HbR,drift_r4_5,1.102788e0,1.953009e-1
S4-D2,HbR,drift_r4_6,-2.556795e0,1.925864e-1
S4-D2,HbR,drift_r4_7,2.049103e0,1.906259e-1
S4-D2,HbR,run_2,1.326649e-2,4.026988e-3
S4-D2,HbR,run_3,3.889823e-3,4.375594e-3
S4-D2,HbR,run_4,4.330377e-3,4.385921e-3
S4-D2,HbR,intercept,1.403120e-2,2.919046e-3
S4-D3,HbO,drift_r1_1,4.356613e0,1.056925e0
S4-D3,HbO,drift_r1_2,2.730702e0,1.039493e0
S4-D3,HbO,drift_r1_3,-4.081430e-1,1.015872e0
S4-D3,HbO,drift_r1_4,-1.022812e0,1.011916e0
S4-D3,HbO,drift_r1_5,2.409976e-1,1.020105e0
S4-D3,HbO,drift_r1_6,-2.772411e-2,1.006580e0
S4-D3,HbO,drift_r1_7,8.127086e-2,1.004128e0
S4-D3,HbO,drift_r1_8,5.371800e-1,1.005242e0
S4-D3,HbO,drift_r1_9,-1.348906e0,9.953943e-1
S4-D3,HbO,drift_r2_1,-2.616574e0,1.001751e0
S4-D3,HbO,drift_r2_2,3.511391e-1,1.010398e0
S4-D3,HbO,drift_r2_3,-2.621150e0,9.974145e-1
S4-D3,HbO,drift_r2_4,-1.049128e-1,9.962790e-1
S4-D3,HbO,drift_r2_5,-3.245336e0,9.891802e-1
S4-D3,HbO,drift_r2_6,2.213528e-3,9.872042e-1
S4-D3,HbO,drift_r2_7,-3.575699e0,9.800516e-1
S4-D3,HbO,drift_r3_1,3.065285e0,1.011133e0
S4-D3,HbO,drift_r3_2,2.972630e0,1.024676e0
S4-D3,HbO,drift_r3_3,3.199631e0,1.003880e0
S4-D3,HbO,drift_r3_4,4.359276e0,1.020476e0
S4-D3,HbO,drift_r3_5,1.877412e0,9.978189e-1
S4-D3,HbO,drift_r3_6,2.421448e0,9.983269e-1
S4-D3,HbO,drift_r3_7,1.240523e0,9.912962e-1
S4-D3,HbO,drift_r3_8,1.211060e0,9.834233e-1
S4-D3,HbO,drift_r4_1,4.723979e-1,1.001542e0
S4-D3,HbO,drift_r4_2,2.891725e0,1.019704e0
S4-D3,HbO,drift_r4_3,-2.853435e-1,9.975472e-1
S4-D3,HbO,drift_r4_4,1.708654e-1,9.971739e-1
S4-D3,HbO,drift_r4_5,3.094330e-1,9.902368e-1
S4-D3,HbO,drift_r4_6,1.482388e0,9.861518e-1
S4-D3,HbO,drift_r4_7,-8.578483e-1,9.841949e-1
S4-D3,HbO,run_2,-3.714789e-2,2.000414e-2
S4-D3,HbO,run_3,1.543057e-2,2.305546e-2
S4-D3,HbO,run_4,-4.392224e-3,2.313442e-2
S4-D3,HbO,intercept,-9.570365e-2,1.527483e-2
S4-D3,HbR,drift_r1_1,-3.363940e-1,1.964828e-1
S4-D3,HbR,drift_r1_2,-6.038893e-1,1.939052e-1
S4-D3,HbR,drift_r1_3,-1.104490e-1,1.907067e-1
S4-D3,HbR,drift_r1_4,-2.219845e-1,1.892784e-1
S4-D3,HbR,drift_r1_5,1.607925e-1,1.896436e-1
S4-D3,HbR,drift_r1_6,-3.483652e-1,1.866765e-1
S4-D3,HbR,drift_r1_7,2.123167e-2,1.853649e-1
S4-D3,HbR,drift_r1_8,-3.591133e-1,1.839894e-1
S4-D3,HbR,drift_r1_9,3.409395e-2,1.814462e-1
S4-D3,HbR,drift_r2_1,-5.288153e-1,1.882488e-1
S4-D3,HbR,drift_r2_2,-7.027132e-1,1.885098e-1
S4-D3,HbR,drift_r2_3,-4.452902e-1,1.865385e-1
S4-D3,HbR,drift_r2_4,-7.516808e-1,1.850644e-1
