# NIRWizard 0.1.7 — subject block average — per-channel statistics
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=epoch mean; descriptive (no p/q); correction=none; families=n/a (no correction applied)
# band: 95% CI (band_type=ci95; half-width = multiplier × SEM, df = n_epochs − 1 per channel)
# trial rejection: no trial rejection applied
# units: μM (source: conversion record)
# condition '1': 3 onsets, 0 out of bounds, n = 3 per channel
# condition '10': 3 onsets, 0 out of bounds, n = 3 per channel
# condition '11': 4 onsets, 0 out of bounds, n = 4 per channel
# condition '20': 12 onsets, 0 out of bounds, n = 12 per channel
# condition '21': 12 onsets, 0 out of bounds, n = 12 per channel
# condition '30': 24 onsets, 0 out of bounds, n = 24 per channel
# condition '40': 4 onsets, 1 out of bounds, n = 3 per channel
# peak: signed extremum (largest |mean|) at t ≥ 0; band_at_peak: band half-width there
# provenance: block_average.json (authoritative sidecar, schema 1.0)
channel,signal,condition,peak,peak_time_s,band_at_peak,n_epochs_kept,n_epochs_rejected,status
S11-D6,HbO,1,5.468309e-1,29.700000,6.654811e-1,3,0,good
S11-D6,HbR,1,2.288957e-1,16.200000,3.255090e-1,3,0,good
S11-D9,HbO,1,3.506548e-1,29.200000,6.591056e-1,3,0,good
S11-D9,HbR,1,5.110929e-2,29.600000,2.270731e-1,3,0,good
S11-D10,HbO,1,6.598809e-1,29.600000,5.374639e-1,3,0,good
S11-D10,HbR,1,1.150134e-1,25.300000,2.258461e-1,3,0,good
S12-D7,HbO,1,-4.084981e-1,8.800000,1.442040e0,3,0,good
S12-D7,HbR,1,-1.080153e-1,37.000000,4.708835e-1,3,0,good
S12-D10,HbO,1,-3.002321e-1,21.300000,2.024952e-1,3,0,good
S12-D10,HbR,1,-1.530411e-1,14.600000,1.476883e-1,3,0,good
S12-D12,HbO,1,-7.988894e-1,26.100000,1.281131e0,3,0,good
S12-D12,HbR,1,-2.746696e-1,16.100000,1.307727e0,3,0,good
S12-D15,HbO,1,-5.072763e-1,22.200000,1.102290e0,3,0,good
S12-D15,HbR,1,6.449592e-2,39.000000,4.537652e-1,3,0,good
S13-D8,HbO,1,3.754906e-1,29.500000,1.306101e0,3,0,good
S13-D8,HbR,1,1.924279e-1,29.500000,7.219468e-1,3,0,good
S13-D11,HbO,1,-4.589452e-1,20.900000,2.041306e-1,3,0,good
S13-D11,HbR,1,9.087645e-2,10.800000,1.043701e-1,3,0,good
S14-D10,HbO,1,6.143511e-1,29.400000,7.790862e-1,3,0,good
S14-D10,HbR,1,2.363104e-1,39.800000,3.744705e-1,3,0,good
S14-D12,HbO,1,-4.287290e-1,9.000000,1.660775e0,3,0,good
S14-D12,HbR,1,2.518738e-1,32.900000,7.538747e-1,3,0,good
S15-D11,HbO,1,-3.476513e-1,24.300000,7.767946e-1,3,0,good
S15-D11,HbR,1,8.018035e-2,34.600000,2.788843e-1,3,0,good
S15-D13,HbO,1,4.244501e-1,5.000000,1.943018e0,3,0,good
S15-D13,HbR,1,2.649505e-1,38.200000,1.014471e0,3,0,good
S15-D14,HbO,1,-5.080274e-1,21.900000,1.540021e0,3,0,good
S15-D14,HbR,1,5.836088e-2,40.000000,4.599230e-1,3,0,good
S16-D12,HbO,1,-2.765079e-1,20.600000,7.670365e-1,3,0,good
S16-D12,HbR,1,6.358911e-2,17.200000,5.461581e-2,3,0,good
S16-D15,HbO,1,-2.443028e-1,32.500000,1.054278e0,3,0,good
S16-D15,HbR,1,1.008060e-1,40.000000,3.445522e-1,3,0,good
S16-D16,HbO,1,-2.972924e-1,20.900000,8.698812e-1,3,0,good
S16-D16,HbR,1,7.139640e-2,17.100000,5.326704e-2,3,0,good
S1-D1,HbO,10,-4.856897e-1,7.700000,1.932622e0,3,0,good
S1-D1,HbR,10,7.740080e-2,20.700000,2.017826e-1,3,0,good
S1-D2,HbO,10,-6.119536e-1,7.600000,2.055108e0,3,0,good
S1-D2,HbR,10,1.479889e-1,17.900000,2.345722e-1,3,0,good
S1-D3,HbO,10,-4.463655e-1,7.700000,1.602300e0,3,0,good
S1-D3,HbR,10,4.246502e-2,15.900000,9.827761e-2,3,0,good
S2-D1,HbO,10,-6.133744e-1,7.000000,2.703396e0,3,0,good
S2-D1,HbR,10,-8.955729e-2,38.800000,3.736275e-1,3,0,good
S2-D4,HbO,10,3.061279e-1,40.000000,5.393746e-1,3,0,good
S2-D4,HbR,10,-8.059669e-2,38.500000,1.896125e-2,3,0,good
S3-D1,HbO,10,-4.148468e-1,17.900000,6.621095e-1,3,0,good
S3-D1,HbR,10,-4.156424e-2,39.100000,3.253957e-1,3,0,good
S3-D3,HbO,10,-2.908536e-1,7.500000,1.702335e0,3,0,good
S3-D3,HbR,10,-6.334632e-2,24.900000,1.924427e-1,3,0,good
S3-D4,HbO,10,-2.685304e-1,7.600000,1.127910e0,3,0,good
S3-D4,HbR,10,-9.803956e-2,20.800000,3.844145e-1,3,0,good
S4-D2,HbO,10,-5.405238e-1,24.900000,1.982987e0,3,0,good
S4-D2,HbR,10,5.616745e-2,18.600000,8.251763e-2,3,0,good
S4-D3,HbO,10,-3.052160e-1,19.600000,6.506583e-1,3,0,good
