# 10-10 / 10-5 scalp positions on the ICBM152 head model as used by NIRx NIRSite 2023.9.
# Harvested from NIRSite-exported Standard_probeInfo.mat files (identical across montages).
# x,y,z: scalp position in cm (RAS: +x right, +y anterior, +z superior). u,v: NIRSite 2-D top-view layout coordinates.
# nx,ny,nz: outward scalp normal.
label,x,y,z,u,v,nx,ny,nz
Iz,0.02,-12.05,-2.58,0,-0.974556,-0.002742,-0.992429,-0.122786
O1,-3.0194,-11.5984,0.6847,-0.24389,-0.753799,-0.345003,-0.93345,0.0982
O2,3.0554,-11.5817,0.7052,0.24389,-0.753799,0.367765,-0.924172,0.103223
Oz,-0.0021,-11.952,1.419,0,-0.779484,-0.010324,-0.985098,0.171682
P1,-3.2687,-8.3015,7.7385,-0.171121,-0.39368,-0.320838,-0.681025,0.658231
P2,3.2417,-8.2593,7.794,0.170972,-0.393314,0.318059,-0.677402,0.663299
P3,-5.7976,-8.1286,5.6214,-0.34038,-0.406403,-0.682384,-0.576797,0.449062
P4,5.8143,-8.0514,5.6992,0.339938,-0.406617,0.678098,-0.575696,0.456899
P5,-7.0586,-7.8617,2.5663,-0.504211,-0.432035,-0.860804,-0.496989,0.109629
P6,7.1064,-7.7654,2.6372,0.503806,-0.431737,0.864738,-0.489236,0.113475
P7,-7.3902,-7.5644,-0.7512,-0.656532,-0.478493,-0.900548,-0.434741,-0.003764
P8,7.4377,-7.4619,-0.6956,0.656118,-0.47906,0.908689,-0.417434,-0.005803
PO10,5.4706,-9.57,-4.1405,0.579962,-0.820056,0.713002,-0.691599,-0.11541
PO3,-3.8829,-10.4992,3.6966,-0.247522,-0.598691,-0.386477,-0.868237,0.311128
PO4,3.8983,-10.4702,3.7553,0.247522,-0.598691,0.396535,-0.862678,0.313922
PO7,-5.6117,-10.0316,-0.0797,-0.471095,-0.650978,-0.681914,-0.73143,0.002019
PO8,5.6669,-9.9838,-0.0394,0.470648,-0.65124,0.693069,-0.720871,0.000909
PO9,-5.3962,-9.6437,-4.1638,-0.580562,-0.819856,-0.705775,-0.700209,-0.107646
POz,-0.0226,-10.672,5.2115,0,-0.584498,-0.007248,-0.885297,0.46497
PPO1,-2.7284,-9.6129,6.3615,-0.151223,-0.491002,-0.243672,-0.809857,0.533624
PPO2,2.6938,-9.5869,6.4167,0.150616,-0.491073,0.234529,-0.803753,0.546789
PPO5h,-5.6629,-9.325,3.5816,-0.371034,-0.51491,-0.683507,-0.689275,0.240246
PPO6h,5.6991,-9.2653,3.6518,0.371449,-0.514674,0.683221,-0.685541,0.251483
RPA,8.39,-1.66,-5.67,1.02582,0,0.999245,-0.038857,0.000635
T7,-8.483,-1.6239,-1.6314,-0.820267,0,-0.99178,0.118284,-0.048807
T8,8.4621,-1.4204,-1.5575,0.820267,0,0.989669,0.133625,-0.05196
TP7,-8.4057,-4.6448,-1.2942,-0.778026,-0.253557,-0.948771,-0.315947,-0.003359
TP8,8.4505,-4.507,-1.2301,0.777784,-0.254299,0.955691,-0.294104,-0.012545
